Topic Name,Sub-topic Name,Difficulty,LeetCode Question,LeetCode Link

Sorting Algorithms,Basic Sorting Understanding,Easy,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array
Sorting Algorithms,Basic Sorting Understanding,Medium,Sort Colors (DNF),https://leetcode.com/problems/sort-colors
Sorting Algorithms,Basic Sorting Understanding,Hard *,Reverse Pairs,https://leetcode.com/problems/reverse-pairs
Sorting Algorithms,Basic Sorting Understanding,Hard *,Count of Smaller Numbers After Self,https://leetcode.com/problems/count-of-smaller-numbers-after-self
Sorting Algorithms,Basic Sorting Understanding,Hard *,Maximum Gap,https://leetcode.com/problems/maximum-gap
Sorting Algorithms,Basic Sorting Understanding,Hard *,Kth Smallest Pair Distance,https://leetcode.com/problems/find-k-th-smallest-pair-distance
Sorting Algorithms,Basic Sorting Understanding,Hard *,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays
Array Manipulation,Basic Array Operations,Easy,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array
Array Manipulation,Basic Array Operations,Medium,Rotate Array,https://leetcode.com/problems/rotate-array
Array Manipulation,Basic Array Operations,Easy,Missing Number,https://leetcode.com/problems/missing-number
Array Manipulation,Basic Array Operations,Easy,Move Zeroes,https://leetcode.com/problems/move-zeroes
Array Manipulation,Basic Array Operations,Hard *,First Missing Positive,https://leetcode.com/problems/first-missing-positive
Array Manipulation,Basic Array Operations,Medium *,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k
Array Manipulation,Basic Array Operations,Medium *,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence
Array Manipulation,Basic Array Operations,Medium *,Game of Life,https://leetcode.com/problems/game-of-life
Array Manipulation,Basic Array Operations,Hard *,Insert Interval,https://leetcode.com/problems/insert-interval
Array Manipulation,Two Pointers Pattern,Easy,Two Sum,https://leetcode.com/problems/two-sum
Array Manipulation,Two Pointers Pattern,Medium,3Sum,https://leetcode.com/problems/3sum
Array Manipulation,Two Pointers Pattern,Medium,4Sum,https://leetcode.com/problems/4sum
Array Manipulation,Two Pointers Pattern,Medium,Container With Most Water,https://leetcode.com/problems/container-with-most-water
Array Manipulation,Two Pointers Pattern,Medium,Remove Duplicates from Sorted Array II,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii
Array Manipulation,Two Pointers Pattern,Hard *,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water
Array Manipulation,Two Pointers Pattern,Medium *,Longest Mountain in Array,https://leetcode.com/problems/longest-mountain-in-array
Array Manipulation,Two Pointers Pattern,Hard *,Shortest Subarray with Sum ≥ K,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k
Array Manipulation,Two Pointers Pattern,Hard *,Trapping Rain Water II,https://leetcode.com/problems/trapping-rain-water-ii
Array Manipulation,Two Pointers Pattern,Medium *,Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum
Array Manipulation,Sliding Window Pattern,Medium *,Permutation in String,https://leetcode.com/problems/permutation-in-string
